model,family,task,split,arch,k,acc,tokens,config
0.5B,wordcon,wordcon-0051,test,long,2,0.0,110.0,long_m2
0.5B,wordcon,wordcon-0051,test,long,4,0.0,110.0,long_m4
0.5B,wordcon,wordcon-0051,test,debate,6,1.0,637.0,debate_a3r2
0.5B,wordcon,wordcon-0052,test,single,1,0.0,83.0,
0.5B,wordcon,wordcon-0052,test,prog,4,0.0,325.5,prog_k4
0.5B,wordcon,wordcon-0052,test,oracle,4,0.0,325.5,oracle_k4
0.5B,wordcon,wordcon-0052,test,judge,4,0.0,508.0,judge_k4
0.5B,wordcon,wordcon-0052,test,prog,8,1.0,649.0,prog_k8
0.5B,wordcon,wordcon-0052,test,oracle,8,1.0,649.0,oracle_k8
0.5B,wordcon,wordcon-0052,test,judge,8,0.0,908.0,judge_k8
0.5B,wordcon,wordcon-0052,test,seq,1,0.0,83.0,seq_r1
0.5B,wordcon,wordcon-0052,test,seq,2,0.0,213.0,seq_r2
0.5B,wordcon,wordcon-0052,test,seq,3,0.0,343.0,seq_r3
0.5B,wordcon,wordcon-0052,test,seq,4,0.0,473.0,seq_r4
0.5B,wordcon,wordcon-0052,test,long,2,0.0,123.0,long_m2
0.5B,wordcon,wordcon-0052,test,long,4,0.0,123.0,long_m4
0.5B,wordcon,wordcon-0052,test,debate,6,0.0,687.0,debate_a3r2
0.5B,wordcon,wordcon-0053,test,single,1,0.0,80.0,
0.5B,wordcon,wordcon-0053,test,prog,4,0.0,324.5,prog_k4
0.5B,wordcon,wordcon-0053,test,oracle,4,0.0,324.5,oracle_k4
0.5B,wordcon,wordcon-0053,test,judge,4,0.0,507.0,judge_k4
0.5B,wordcon,wordcon-0053,test,prog,8,0.0,652.0,prog_k8
0.5B,wordcon,wordcon-0053,test,oracle,8,0.0,652.0,oracle_k8
0.5B,wordcon,wordcon-0053,test,judge,8,0.0,918.0,judge_k8
0.5B,wordcon,wordcon-0053,test,seq,1,0.0,80.0,seq_r1
0.5B,wordcon,wordcon-0053,test,seq,2,0.0,205.0,seq_r2
0.5B,wordcon,wordcon-0053,test,seq,3,0.0,330.0,seq_r3
0.5B,wordcon,wordcon-0053,test,seq,4,0.0,455.0,seq_r4
0.5B,wordcon,wordcon-0053,test,long,2,0.0,115.0,long_m2
0.5B,wordcon,wordcon-0053,test,long,4,0.0,115.0,long_m4
0.5B,wordcon,wordcon-0053,test,debate,6,0.0,674.0,debate_a3r2
0.5B,wordcon,wordcon-0054,test,single,1,0.0,79.0,
0.5B,wordcon,wordcon-0054,test,prog,4,0.5,322.0,prog_k4
0.5B,wordcon,wordcon-0054,test,oracle,4,0.5,322.0,oracle_k4
0.5B,wordcon,wordcon-0054,test,judge,4,0.5,493.0,judge_k4
0.5B,wordcon,wordcon-0054,test,prog,8,1.0,641.0,prog_k8
0.5B,wordcon,wordcon-0054,test,oracle,8,1.0,641.0,oracle_k8
0.5B,wordcon,wordcon-0054,test,judge,8,0.0,886.0,judge_k8
0.5B,wordcon,wordcon-0054,test,seq,1,0.0,79.0,seq_r1
0.5B,wordcon,wordcon-0054,test,seq,2,0.0,201.0,seq_r2
0.5B,wordcon,wordcon-0054,test,seq,3,0.0,335.0,seq_r3
0.5B,wordcon,wordcon-0054,test,seq,4,0.0,481.0,seq_r4
0.5B,wordcon,wordcon-0054,test,long,2,0.0,154.0,long_m2
0.5B,wordcon,wordcon-0054,test,long,4,0.0,154.0,long_m4
0.5B,wordcon,wordcon-0054,test,debate,6,0.0,649.0,debate_a3r2
0.5B,wordcon,wordcon-0055,test,single,1,0.0,77.0,
0.5B,wordcon,wordcon-0055,test,prog,4,1.0,314.5,prog_k4
0.5B,wordcon,wordcon-0055,test,oracle,4,1.0,314.5,oracle_k4
0.5B,wordcon,wordcon-0055,test,judge,4,0.5,480.0,judge_k4
0.5B,wordcon,wordcon-0055,test,prog,8,1.0,649.0,prog_k8
0.5B,wordcon,wordcon-0055,test,oracle,8,1.0,649.0,oracle_k8
0.5B,wordcon,wordcon-0055,test,judge,8,0.0,893.0,judge_k8
0.5B,wordcon,wordcon-0055,test,seq,1,0.0,77.0,seq_r1
0.5B,wordcon,wordcon-0055,test,seq,2,0.0,195.0,seq_r2
0.5B,wordcon,wordcon-0055,test,seq,3,0.0,313.0,seq_r3
0.5B,wordcon,wordcon-0055,test,seq,4,0.0,431.0,seq_r4
0.5B,wordcon,wordcon-0055,test,long,2,0.0,132.0,long_m2
0.5B,wordcon,wordcon-0055,test,long,4,0.0,132.0,long_m4
0.5B,wordcon,wordcon-0055,test,debate,6,0.0,653.0,debate_a3r2
0.5B,wordcon,wordcon-0056,test,single,1,0.0,76.0,
0.5B,wordcon,wordcon-0056,test,prog,4,1.0,313.0,prog_k4
0.5B,wordcon,wordcon-0056,test,oracle,4,1.0,313.0,oracle_k4
0.5B,wordcon,wordcon-0056,test,judge,4,0.0,479.5,judge_k4
0.5B,wordcon,wordcon-0056,test,prog,8,1.0,625.0,prog_k8
0.5B,wordcon,wordcon-0056,test,oracle,8,1.0,625.0,oracle_k8
0.5B,wordcon,wordcon-0056,test,judge,8,0.0,859.0,judge_k8
0.5B,wordcon,wordcon-0056,test,seq,1,0.0,76.0,seq_r1
0.5B,wordcon,wordcon-0056,test,seq,2,0.0,192.0,seq_r2
0.5B,wordcon,wordcon-0056,test,seq,3,0.0,308.0,seq_r3
0.5B,wordcon,wordcon-0056,test,seq,4,0.0,424.0,seq_r4
0.5B,wordcon,wordcon-0056,test,long,2,0.0,116.0,long_m2
0.5B,wordcon,wordcon-0056,test,long,4,0.0,116.0,long_m4
0.5B,wordcon,wordcon-0056,test,debate,6,0.0,639.0,debate_a3r2
0.5B,wordcon,wordcon-0057,test,single,1,0.0,76.0,
0.5B,wordcon,wordcon-0057,test,prog,4,1.0,305.5,prog_k4
0.5B,wordcon,wordcon-0057,test,oracle,4,1.0,305.5,oracle_k4
0.5B,wordcon,wordcon-0057,test,judge,4,1.0,469.5,judge_k4
0.5B,wordcon,wordcon-0057,test,prog,8,1.0,608.0,prog_k8
0.5B,wordcon,wordcon-0057,test,oracle,8,1.0,608.0,oracle_k8
0.5B,wordcon,wordcon-0057,test,judge,8,0.0,838.0,judge_k8
0.5B,wordcon,wordcon-0057,test,seq,1,0.0,76.0,seq_r1
0.5B,wordcon,wordcon-0057,test,seq,2,0.0,206.0,seq_r2
0.5B,wordcon,wordcon-0057,test,seq,3,0.0,348.0,seq_r3
0.5B,wordcon,wordcon-0057,test,seq,4,0.0,471.0,seq_r4
0.5B,wordcon,wordcon-0057,test,long,2,1.0,107.0,long_m2
0.5B,wordcon,wordcon-0057,test,long,4,1.0,107.0,long_m4
0.5B,wordcon,wordcon-0057,test,debate,6,1.0,610.0,debate_a3r2
0.5B,wordcon,wordcon-0058,test,single,1,0.0,75.0,
0.5B,wordcon,wordcon-0058,test,prog,4,0.0,312.5,prog_k4
0.5B,wordcon,wordcon-0058,test,oracle,4,0.0,312.5,oracle_k4
0.5B,wordcon,wordcon-0058,test,judge,4,0.0,479.0,judge_k4
0.5B,wordcon,wordcon-0058,test,prog,8,0.0,630.0,prog_k8
0.5B,wordcon,wordcon-0058,test,oracle,8,0.0,630.0,oracle_k8
0.5B,wordcon,wordcon-0058,test,judge,8,0.0,864.0,judge_k8
0.5B,wordcon,wordcon-0058,test,seq,1,0.0,75.0,seq_r1
0.5B,wordcon,wordcon-0058,test,seq,2,0.0,189.0,seq_r2
0.5B,wordcon,wordcon-0058,test,seq,3,0.0,303.0,seq_r3
0.5B,wordcon,wordcon-0058,test,seq,4,0.0,417.0,seq_r4
0.5B,wordcon,wordcon-0058,test,long,2,0.0,126.0,long_m2
0.5B,wordcon,wordcon-0058,test,long,4,0.0,126.0,long_m4
0.5B,wordcon,wordcon-0058,test,debate,6,0.0,616.0,debate_a3r2
0.5B,wordcon,wordcon-0059,test,single,1,0.0,76.0,
0.5B,wordcon,wordcon-0059,test,prog,4,1.0,313.0,prog_k4
0.5B,wordcon,wordcon-0059,test,oracle,4,1.0,313.0,oracle_k4
0.5B,wordcon,wordcon-0059,test,judge,4,0.0,479.5,judge_k4
0.5B,wordcon,wordcon-0059,test,prog,8,1.0,625.0,prog_k8
0.5B,wordcon,wordcon-0059,test,oracle,8,1.0,625.0,oracle_k8
0.5B,wordcon,wordcon-0059,test,judge,8,0.0,852.0,judge_k8
0.5B,wordcon,wordcon-0059,test,seq,1,0.0,76.0,seq_r1
0.5B,wordcon,wordcon-0059,test,seq,2,0.0,192.0,seq_r2
0.5B,wordcon,wordcon-0059,test,seq,3,0.0,308.0,seq_r3
0.5B,wordcon,wordcon-0059,test,seq,4,0.0,424.0,seq_r4
0.5B,wordcon,wordcon-0059,test,long,2,0.0,116.0,long_m2
0.5B,wordcon,wordcon-0059,test,long,4,0.0,116.0,long_m4
0.5B,wordcon,wordcon-0059,test,debate,6,0.0,639.0,debate_a3r2
0.5B,wordcon,wordcon-0060,test,single,1,0.0,72.0,
0.5B,wordcon,wordcon-0060,test,prog,4,0.0,311.5,prog_k4
0.5B,wordcon,wordcon-0060,test,oracle,4,0.0,311.5,oracle_k4
0.5B,wordcon,wordcon-0060,test,judge,4,0.0,485.0,judge_k4
0.5B,wordcon,wordcon-0060,test,prog,8,0.0,622.0,prog_k8
0.5B,wordcon,wordcon-0060,test,oracle,8,0.0,622.0,oracle_k8
0.5B,wordcon,wordcon-0060,test,judge,8,0.0,865.0,judge_k8
0.5B,wordcon,wordcon-0060,test,seq,1,0.0,72.0,seq_r1
0.5B,wordcon,wordcon-0060,test,seq,2,0.0,182.0,seq_r2
0.5B,wordcon,wordcon-0060,test,seq,3,0.0,292.0,seq_r3
0.5B,wordcon,wordcon-0060,test,seq,4,0.0,402.0,seq_r4
0.5B,wordcon,wordcon-0060,test,long,2,0.0,112.0,long_m2
0.5B,wordcon,wordcon-0060,test,long,4,0.0,112.0,long_m4
0.5B,wordcon,wordcon-0060,test,debate,6,0.0,606.0,debate_a3r2
0.5B,wordcon,wordcon-0061,test,single,1,0.0,80.0,
0.5B,wordcon,wordcon-0061,test,prog,4,0.0,317.0,prog_k4
0.5B,wordcon,wordcon-0061,test,oracle,4,0.0,317.0,oracle_k4
0.5B,wordcon,wordcon-0061,test,judge,4,0.0,489.0,judge_k4
0.5B,wordcon,wordcon-0061,test,prog,8,0.0,640.0,prog_k8
0.5B,wordcon,wordcon-0061,test,oracle,8,0.0,640.0,oracle_k8
0.5B,wordcon,wordcon-0061,test,judge,8,0.0,894.0,judge_k8
0.5B,wordcon,wordcon-0061,test,seq,1,0.0,80.0,seq_r1
0.5B,wordcon,wordcon-0061,test,seq,2,0.0,204.0,seq_r2
0.5B,wordcon,wordcon-0061,test,seq,3,0.0,328.0,seq_r3
0.5B,wordcon,wordcon-0061,test,seq,4,0.0,452.0,seq_r4
0.5B,wordcon,wordcon-0061,test,long,2,0.0,113.0,long_m2
0.5B,wordcon,wordcon-0061,test,long,4,0.0,113.0,long_m4
0.5B,wordcon,wordcon-0061,test,debate,6,0.0,636.0,debate_a3r2
0.5B,wordcon,wordcon-0062,test,single,1,0.0,76.0,
0.5B,wordcon,wordcon-0062,test,prog,4,1.0,302.0,prog_k4
0.5B,wordcon,wordcon-0062,test,oracle,4,1.0,302.0,oracle_k4
0.5B,wordcon,wordcon-0062,test,judge,4,0.5,455.0,judge_k4
0.5B,wordcon,wordcon-0062,test,prog,8,1.0,607.0,prog_k8
0.5B,wordcon,wordcon-0062,test,oracle,8,1.0,607.0,oracle_k8
0.5B,wordcon,wordcon-0062,test,judge,8,0.0,815.0,judge_k8
0.5B,wordcon,wordcon-0062,test,seq,1,0.0,76.0,seq_r1
0.5B,wordcon,wordcon-0062,test,seq,2,0.0,192.0,seq_r2
0.5B,wordcon,wordcon-0062,test,seq,3,0.0,308.0,seq_r3
0.5B,wordcon,wordcon-0062,test,seq,4,0.0,424.0,seq_r4
0.5B,wordcon,wordcon-0062,test,long,2,0.0,109.0,long_m2
0.5B,wordcon,wordcon-0062,test,long,4,0.0,109.0,long_m4
0.5B,wordcon,wordcon-0062,test,debate,6,1.0,602.0,debate_a3r2
0.5B,wordcon,wordcon-0063,test,single,1,0.0,80.0,
0.5B,wordcon,wordcon-0063,test,prog,4,0.0,317.0,prog_k4
0.5B,wordcon,wordcon-0063,test,oracle,4,0.0,317.0,oracle_k4
0.5B,wordcon,wordcon-0063,test,judge,4,0.0,483.5,judge_k4
0.5B,wordcon,wordcon-0063,test,prog,8,0.0,640.0,prog_k8
0.5B,wordcon,wordcon-0063,test,oracle,8,0.0,640.0,oracle_k8
0.5B,wordcon,wordcon-0063,test,judge,8,0.0,893.0,judge_k8
0.5B,wordcon,wordcon-0063,test,seq,1,0.0,80.0,seq_r1
0.5B,wordcon,wordcon-0063,test,seq,2,0.0,204.0,seq_r2
0.5B,wordcon,wordcon-0063,test,seq,3,0.0,328.0,seq_r3
0.5B,wordcon,wordcon-0063,test,seq,4,0.0,452.0,seq_r4
0.5B,wordcon,wordcon-0063,test,long,2,0.0,113.0,long_m2
0.5B,wordcon,wordcon-0063,test,long,4,0.0,113.0,long_m4
0.5B,wordcon,wordcon-0063,test,debate,6,0.0,636.0,debate_a3r2
0.5B,wordcon,wordcon-0064,test,single,1,0.0,80.0,
0.5B,wordcon,wordcon-0064,test,prog,4,0.0,317.0,prog_k4
0.5B,wordcon,wordcon-0064,test,oracle,4,0.0,317.0,oracle_k4
0.5B,wordcon,wordcon-0064,test,judge,4,0.0,485.0,judge_k4
0.5B,wordcon,wordcon-0064,test,prog,8,0.0,640.0,prog_k8
0.5B,wordcon,wordcon-0064,test,oracle,8,0.0,640.0,oracle_k8
0.5B,wordcon,wordcon-0064,test,judge,8,0.0,893.0,judge_k8
0.5B,wordcon,wordcon-0064,test,seq,1,0.0,80.0,seq_r1
0.5B,wordcon,wordcon-0064,test,seq,2,0.0,204.0,seq_r2
0.5B,wordcon,wordcon-0064,test,seq,3,0.0,328.0,seq_r3
0.5B,wordcon,wordcon-0064,test,seq,4,0.0,452.0,seq_r4
0.5B,wordcon,wordcon-0064,test,long,2,0.0,113.0,long_m2
0.5B,wordcon,wordcon-0064,test,long,4,0.0,113.0,long_m4
0.5B,wordcon,wordcon-0064,test,debate,6,0.0,636.0,debate_a3r2
0.5B,wordcon,wordcon-0065,test,single,1,0.0,84.0,
0.5B,wordcon,wordcon-0065,test,prog,4,0.0,312.5,prog_k4
0.5B,wordcon,wordcon-0065,test,oracle,4,0.0,312.5,oracle_k4
0.5B,wordcon,wordcon-0065,test,judge,4,0.0,480.5,judge_k4
0.5B,wordcon,wordcon-0065,test,prog,8,1.0,614.0,prog_k8
0.5B,wordcon,wordcon-0065,test,oracle,8,1.0,614.0,oracle_k8
0.5B,wordcon,wordcon-0065,test,judge,8,0.0,847.0,judge_k8
0.5B,wordcon,wordcon-0065,test,seq,1,0.0,84.0,seq_r1
0.5B,wordcon,wordcon-0065,test,seq,2,0.0,217.0,seq_r2
0.5B,wordcon,wordcon-0065,test,seq,3,0.0,350.0,seq_r3
0.5B,wordcon,wordcon-0065,test,seq,4,0.0,483.0,seq_r4
0.5B,wordcon,wordcon-0065,test,long,2,0.0,116.0,long_m2
0.5B,wordcon,wordcon-0065,test,long,4,0.0,116.0,long_m4
0.5B,wordcon,wordcon-0065,test,debate,6,1.0,644.0,debate_a3r2
0.5B,wordcon,wordcon-0066,test,single,1,0.0,81.0,
0.5B,wordcon,wordcon-0066,test,prog,4,0.0,312.5,prog_k4
0.5B,wordcon,wordcon-0066,test,oracle,4,0.0,312.5,oracle_k4
0.5B,wordcon,wordcon-0066,test,judge,4,0.0,485.0,judge_k4
0.5B,wordcon,wordcon-0066,test,prog,8,0.0,626.0,prog_k8
0.5B,wordcon,wordcon-0066,test,oracle,8,0.0,626.0,oracle_k8
0.5B,wordcon,wordcon-0066,test,judge,8,0.0,868.0,judge_k8
0.5B,wordcon,wordcon-0066,test,seq,1,0.0,81.0,seq_r1
0.5B,wordcon,wordcon-0066,test,seq,2,0.0,208.0,seq_r2
0.5B,wordcon,wordcon-0066,test,seq,3,0.0,335.0,seq_r3
0.5B,wordcon,wordcon-0066,test,seq,4,0.0,462.0,seq_r4
0.5B,wordcon,wordcon-0066,test,long,2,0.0,113.0,long_m2
0.5B,wordcon,wordcon-0066,test,long,4,0.0,113.0,long_m4
0.5B,wordcon,wordcon-0066,test,debate,6,0.0,650.0,debate_a3r2
0.5B,wordcon,wordcon-0067,test,single,1,0.0,77.0,
0.5B,wordcon,wordcon-0067,test,prog,4,0.0,311.5,prog_k4
0.5B,wordcon,wordcon-0067,test,oracle,4,0.0,311.5,oracle_k4
0.5B,wordcon,wordcon-0067,test,judge,4,0.0,486.0,judge_k4
0.5B,wordcon,wordcon-0067,test,prog,8,1.0,626.0,prog_k8
0.5B,wordcon,wordcon-0067,test,oracle,8,1.0,626.0,oracle_k8
0.5B,wordcon,wordcon-0067,test,judge,8,0.0,880.0,judge_k8
0.5B,wordcon,wordcon-0067,test,seq,1,0.0,77.0,seq_r1
0.5B,wordcon,wordcon-0067,test,seq,2,0.0,197.0,seq_r2
0.5B,wordcon,wordcon-0067,test,seq,3,0.0,317.0,seq_r3
0.5B,wordcon,wordcon-0067,test,seq,4,0.0,437.0,seq_r4
0.5B,wordcon,wordcon-0067,test,long,2,0.0,110.0,long_m2
0.5B,wordcon,wordcon-0067,test,long,4,0.0,110.0,long_m4
0.5B,wordcon,wordcon-0067,test,debate,6,1.0,613.0,debate_a3r2
0.5B,wordcon,wordcon-0068,test,single,1,0.0,74.0,
0.5B,wordcon,wordcon-0068,test,prog,4,0.0,322.5,prog_k4
0.5B,wordcon,wordcon-0068,test,oracle,4,0.0,322.5,oracle_k4
0.5B,wordcon,wordcon-0068,test,judge,4,0.0,501.0,judge_k4
0.5B,wordcon,wordcon-0068,test,prog,8,1.0,640.0,prog_k8
0.5B,wordcon,wordcon-0068,test,oracle,8,1.0,640.0,oracle_k8
0.5B,wordcon,wordcon-0068,test,judge,8,0.0,884.0,judge_k8
0.5B,wordcon,wordcon-0068,test,seq,1,0.0,74.0,seq_r1
0.5B,wordcon,wordcon-0068,test,seq,2,0.0,186.0,seq_r2
0.5B,wordcon,wordcon-0068,test,seq,3,0.0,298.0,seq_r3
0.5B,wordcon,wordcon-0068,test,seq,4,0.0,410.0,seq_r4
0.5B,wordcon,wordcon-0068,test,long,2,0.0,115.0,long_m2
0.5B,wordcon,wordcon-0068,test,long,4,0.0,115.0,long_m4
0.5B,wordcon,wordcon-0068,test,debate,6,1.0,642.0,debate_a3r2
0.5B,wordcon,wordcon-0069,test,single,1,0.0,79.0,
0.5B,wordcon,wordcon-0069,test,prog,4,0.0,322.0,prog_k4
0.5B,wordcon,wordcon-0069,test,oracle,4,0.0,322.0,oracle_k4
0.5B,wordcon,wordcon-0069,test,judge,4,0.0,498.0,judge_k4
0.5B,wordcon,wordcon-0069,test,prog,8,0.0,638.0,prog_k8
0.5B,wordcon,wordcon-0069,test,oracle,8,0.0,638.0,oracle_k8
0.5B,wordcon,wordcon-0069,test,judge,8,0.0,885.0,judge_k8
0.5B,wordcon,wordcon-0069,test,seq,1,0.0,79.0,seq_r1
0.5B,wordcon,wordcon-0069,test,seq,2,0.0,201.0,seq_r2
0.5B,wordcon,wordcon-0069,test,seq,3,0.0,323.0,seq_r3
0.5B,wordcon,wordcon-0069,test,seq,4,0.0,445.0,seq_r4
0.5B,wordcon,wordcon-0069,test,long,2,0.0,117.0,long_m2
0.5B,wordcon,wordcon-0069,test,long,4,0.0,117.0,long_m4
0.5B,wordcon,wordcon-0069,test,debate,6,0.0,653.0,debate_a3r2
0.5B,wordcon,wordcon-0070,test,single,1,0.0,77.0,
0.5B,wordcon,wordcon-0070,test,prog,4,1.0,302.5,prog_k4
0.5B,wordcon,wordcon-0070,test,oracle,4,1.0,302.5,oracle_k4
0.5B,wordcon,wordcon-0070,test,judge,4,0.0,463.5,judge_k4
0.5B,wordcon,wordcon-0070,test,prog,8,1.0,604.0,prog_k8
0.5B,wordcon,wordcon-0070,test,oracle,8,1.0,604.0,oracle_k8
0.5B,wordcon,wordcon-0070,test,judge,8,0.0,825.0,judge_k8
0.5B,wordcon,wordcon-0070,test,seq,1,0.0,77.0,seq_r1
0.5B,wordcon,wordcon-0070,test,seq,2,0.0,197.0,seq_r2
0.5B,wordcon,wordcon-0070,test,seq,3,0.0,317.0,seq_r3
0.5B,wordcon,wordcon-0070,test,seq,4,0.0,437.0,seq_r4
0.5B,wordcon,wordcon-0070,test,long,2,0.0,107.0,long_m2
0.5B,wordcon,wordcon-0070,test,long,4,0.0,107.0,long_m4
0.5B,wordcon,wordcon-0070,test,debate,6,0.0,638.0,debate_a3r2
0.5B,wordcon,wordcon-0071,test,single,1,0.0,76.0,
0.5B,wordcon,wordcon-0071,test,prog,4,0.5,304.5,prog_k4
0.5B,wordcon,wordcon-0071,test,oracle,4,0.5,304.5,oracle_k4
0.5B,wordcon,wordcon-0071,test,judge,4,0.0,464.5,judge_k4
0.5B,wordcon,wordcon-0071,test,prog,8,1.0,619.0,prog_k8
0.5B,wordcon,wordcon-0071,test,oracle,8,1.0,619.0,oracle_k8
0.5B,wordcon,wordcon-0071,test,judge,8,0.0,850.0,judge_k8
0.5B,wordcon,wordcon-0071,test,seq,1,0.0,76.0,seq_r1
0.5B,wordcon,wordcon-0071,test,seq,2,0.0,193.0,seq_r2
0.5B,wordcon,wordcon-0071,test,seq,3,0.0,310.0,seq_r3
0.5B,wordcon,wordcon-0071,test,seq,4,0.0,427.0,seq_r4
0.5B,wordcon,wordcon-0071,test,long,2,0.0,108.0,long_m2
0.5B,wordcon,wordcon-0071,test,long,4,0.0,108.0,long_m4
0.5B,wordcon,wordcon-0071,test,debate,6,0.0,651.0,debate_a3r2
0.5B,wordcon,wordcon-0072,test,single,1,0.0,76.0,
0.5B,wordcon,wordcon-0072,test,prog,4,0.5,304.5,prog_k4
0.5B,wordcon,wordcon-0072,test,oracle,4,0.5,304.5,oracle_k4
0.5B,wordcon,wordcon-0072,test,judge,4,0.0,464.5,judge_k4
0.5B,wordcon,wordcon-0072,test,prog,8,1.0,619.0,prog_k8
0.5B,wordcon,wordcon-0072,test,oracle,8,1.0,619.0,oracle_k8
0.5B,wordcon,wordcon-0072,test,judge,8,0.0,850.0,judge_k8
0.5B,wordcon,wordcon-0072,test,seq,1,0.0,76.0,seq_r1
0.5B,wordcon,wordcon-0072,test,seq,2,0.0,193.0,seq_r2
0.5B,wordcon,wordcon-0072,test,seq,3,0.0,310.0,seq_r3
0.5B,wordcon,wordcon-0072,test,seq,4,0.0,427.0,seq_r4
0.5B,wordcon,wordcon-0072,test,long,2,0.0,108.0,long_m2
0.5B,wordcon,wordcon-0072,test,long,4,0.0,108.0,long_m4
0.5B,wordcon,wordcon-0072,test,debate,6,0.0,651.0,debate_a3r2
0.5B,wordcon,wordcon-0073,test,single,1,0.0,86.0,
0.5B,wordcon,wordcon-0073,test,prog,4,0.0,325.0,prog_k4
0.5B,wordcon,wordcon-0073,test,oracle,4,0.0,325.0,oracle_k4
0.5B,wordcon,wordcon-0073,test,judge,4,0.0,510.0,judge_k4
0.5B,wordcon,wordcon-0073,test,prog,8,0.0,658.0,prog_k8
0.5B,wordcon,wordcon-0073,test,oracle,8,0.0,658.0,oracle_k8
0.5B,wordcon,wordcon-0073,test,judge,8,0.0,937.0,judge_k8
0.5B,wordcon,wordcon-0073,test,seq,1,0.0,86.0,seq_r1
0.5B,wordcon,wordcon-0073,test,seq,2,0.0,223.0,seq_r2
0.5B,wordcon,wordcon-0073,test,seq,3,0.0,360.0,seq_r3
0.5B,wordcon,wordcon-0073,test,seq,4,0.0,497.0,seq_r4
0.5B,wordcon,wordcon-0073,test,long,2,0.0,111.0,long_m2
0.5B,wordcon,wordcon-0073,test,long,4,0.0,111.0,long_m4
0.5B,wordcon,wordcon-0073,test,debate,6,0.0,687.0,debate_a3r2
0.5B,wordcon,wordcon-0074,test,single,1,0.0,79.0,
0.5B,wordcon,wordcon-0074,test,prog,4,0.0,322.0,prog_k4
0.5B,wordcon,wordcon-0074,test,oracle,4,0.0,322.0,oracle_k4
0.5B,wordcon,wordcon-0074,test,judge,4,0.0,500.0,judge_k4
0.5B,wordcon,wordcon-0074,test,prog,8,0.0,638.0,prog_k8
0.5B,wordcon,wordcon-0074,test,oracle,8,0.0,638.0,oracle_k8
0.5B,wordcon,wordcon-0074,test,judge,8,0.0,882.0,judge_k8
0.5B,wordcon,wordcon-0074,test,seq,1,0.0,79.0,seq_r1
0.5B,wordcon,wordcon-0074,test,seq,2,0.0,201.0,seq_r2
0.5B,wordcon,wordcon-0074,test,seq,3,0.0,323.0,seq_r3
0.5B,wordcon,wordcon-0074,test,seq,4,0.0,445.0,seq_r4
0.5B,wordcon,wordcon-0074,test,long,2,0.0,117.0,long_m2
0.5B,wordcon,wordcon-0074,test,long,4,0.0,117.0,long_m4
0.5B,wordcon,wordcon-0074,test,debate,6,0.0,653.0,debate_a3r2
0.5B,wordcon,wordcon-0075,test,single,1,0.0,80.0,
0.5B,wordcon,wordcon-0075,test,prog,4,0.0,332.5,prog_k4
0.5B,wordcon,wordcon-0075,test,oracle,4,0.0,332.5,oracle_k4
0.5B,wordcon,wordcon-0075,test,judge,4,0.0,526.0,judge_k4
0.5B,wordcon,wordcon-0075,test,prog,8,0.0,685.0,prog_k8
0.5B,wordcon,wordcon-0075,test,oracle,8,0.0,685.0,oracle_k8
0.5B,wordcon,wordcon-0075,test,judge,8,0.0,989.0,judge_k8
0.5B,wordcon,wordcon-0075,test,seq,1,0.0,80.0,seq_r1
0.5B,wordcon,wordcon-0075,test,seq,2,0.0,204.0,seq_r2
0.5B,wordcon,wordcon-0075,test,seq,3,0.0,328.0,seq_r3
0.5B,wordcon,wordcon-0075,test,seq,4,0.0,452.0,seq_r4
0.5B,wordcon,wordcon-0075,test,long,2,0.0,119.0,long_m2
0.5B,wordcon,wordcon-0075,test,long,4,0.0,119.0,long_m4
0.5B,wordcon,wordcon-0075,test,debate,6,0.0,719.0,debate_a3r2
0.5B,wordcon,wordcon-0076,test,single,1,0.0,76.0,
0.5B,wordcon,wordcon-0076,test,prog,4,1.0,302.0,prog_k4
0.5B,wordcon,wordcon-0076,test,oracle,4,1.0,302.0,oracle_k4
0.5B,wordcon,wordcon-0076,test,judge,4,0.5,455.0,judge_k4
0.5B,wordcon,wordcon-0076,test,prog,8,1.0,607.0,prog_k8
0.5B,wordcon,wordcon-0076,test,oracle,8,1.0,607.0,oracle_k8
0.5B,wordcon,wordcon-0076,test,judge,8,0.0,817.0,judge_k8
0.5B,wordcon,wordcon-0076,test,seq,1,0.0,76.0,seq_r1
0.5B,wordcon,wordcon-0076,test,seq,2,0.0,192.0,seq_r2
0.5B,wordcon,wordcon-0076,test,seq,3,0.0,308.0,seq_r3
0.5B,wordcon,wordcon-0076,test,seq,4,0.0,424.0,seq_r4
0.5B,wordcon,wordcon-0076,test,long,2,0.0,109.0,long_m2
0.5B,wordcon,wordcon-0076,test,long,4,0.0,109.0,long_m4
0.5B,wordcon,wordcon-0076,test,debate,6,1.0,602.0,debate_a3r2
0.5B,wordcon,wordcon-0077,test,single,1,0.0,89.0,
0.5B,wordcon,wordcon-0077,test,prog,4,0.0,334.0,prog_k4
0.5B,wordcon,wordcon-0077,test,oracle,4,0.0,334.0,oracle_k4
0.5B,wordcon,wordcon-0077,test,judge,4,0.0,532.0,judge_k4
0.5B,wordcon,wordcon-0077,test,prog,8,0.0,669.0,prog_k8
0.5B,wordcon,wordcon-0077,test,oracle,8,0.0,669.0,oracle_k8
0.5B,wordcon,wordcon-0077,test,judge,8,0.0,954.0,judge_k8
0.5B,wordcon,wordcon-0077,test,seq,1,0.0,89.0,seq_r1
